songartist;songtitle;nn;anno
MS. LAURYN HILL;Doo Wop (That Thing);1;2023
NADA;Senza un perchè;1;2023
NAS & DAMIAN MARLEY;As We Enter;1;2023
NAT KING COLE;LOVE;1;2023
NATALINO OTTO;Ho un sassolino nella scarpa;1;2023
NEFFA;Aspettando il sole;3;2023
NEFFA;Prima di Andare Via;1;2023
NEGRAMARO;Fino al giorno nuovo (feat. Fabri Fibra);6;2023
NEGRAMARO;Solo3min;1;2023
NEGRAMARO, ELISA, JOVANOTTI;Diamanti;3;2023
NEGRITA;Rotolando verso sud;2;2023
NEIL YOUNG;Harvest Moon;2;2023
NEW TROLLS;Quella carezza della sera;2;2023
NIALL HORAN;Heaven;5;2023
NIALL HORAN;Meltdown;3;2023
NICK CAVE & THE BAD SEEDS;Into My Arms;1;2023
NICK DRAKE;One of These Things First;1;2023
NICK MULVEY;Fever To The Form;3;2023
NICOLA DI BARI;La Prima Cosa Bella;1;2023
NINA SIMONE;Mr. Bojangles;1;2023
NINO MANFREDI;Tanto pè cantà;1;2023
NIRVANA;Smells Like Teen Spirit;1;2023
NOEL GALLAGHER'S HIGH FLYING BIRDS;Easy Now;4;2023
NOEL GALLAGHER'S HIGH FLYING BIRDS;Easy Now (Radio Edit);2;2023
OASIS;Don't Look Back In Anger;1;2023
OASIS;Sunday Morning Call;2;2023
OCEANVS ORIENTALIS;Revenge Of The Wankers;1;2023
OI VA VOI;Refugee;1;2023
OLIVER HELDENS & DJS FROM MARS;Blue Monday (feat. Jd Davies);1;2023
OLIVIA RODRIGO;vampire;1;2023
ONEREPUBLIC;I Ain't Worried;1;2023
ONEREPUBLIC;Runaway;2;2023
ONEREPUBLIC, ASSASSIN'S CREED, MISHAAL TAMER;Mirage (for Assassin's Creed Mirage);3;2023
ORNELLA VANONI;Ma MiITR008201439;1;2023
ORNELLA VANONI, TOQUINHO, VINICIUS DE MORAES;La voglia, la pazzia;1;2023
OROFINO;Amsterdam (DJ Tennis Remix);2;2023
OTIS REDDING;(Sittin' On) The Dock Of The Bay;2;2023
OTTO OHM;Crepuscolaria;2;2023
PAOLO CONTE;Gli Impermeabili;1;2023
PAOLO NUTINI;New Shoes;2;2023
PASSENGERS & LUCIANO PAVAROTTI;Miss Sarajevo;2;2023
PATTY PRAVO;E dimmi che non vuoi morire;2;2023
PAUL & FRITZ KALKBRENNER;Sky And Sand;2;2023
PAUL RUSSELL;Lil Boo Thang;2;2023
PEARL JAM;Just Breathe;1;2023
PEARL JAM;Off He Goes;1;2023
PEGGY GOU;(It Goes Like) Nanana;1;2023
PEGGY GOU;(It Goes Like) Nanana (Edit);3;2023
PEGGY GOU, LENNY KRAVITZ;I Believe In Love Again;2;2023
PETER GABRIEL;i o (Bright Side Mix);1;2023
PETER GABRIEL;Solsbury Hill;1;2023
PHARRELL WILLIAMS;Happy;1;2023
PHATS & SMALL PRES. MUTANT DISCO;Turn Around;1;2023
PIERO PELÙ;Gigante;1;2023
PINGUINI TATTICI NUCLEARI;Coca zero;4;2023
PINGUINI TATTICI NUCLEARI;La nostra canzone (feat. Deejay All Stars);6;2023
PINGUINI TATTICI NUCLEARI;Ricordi;3;2023
PINGUINI TATTICI NUCLEARI;Rubami la Notte;3;2023
PINK FLOYD;Another Brick In The Wall, Pt. 2;1;2023
PINK FLOYD;Breathe;1;2023
PINK FLOYD;Comfortably Numb;2;2023
PINK FLOYD;Hey You;2;2023
PINK FLOYD;Shine On You Crazy Diamond (Parts 1 5);1;2023
PINK FLOYD;The Great Gig In The Sky;1;2023
